seed,dest_label,file_source_node,sightings_generated,sightings_delivered,sighting_delivery_rate,sighting_avg_delay_s,sighting_min_delay_s,sighting_max_delay_s,sighting_p50_delay_s,sighting_avg_hops,sightings_expired,time_to_first_sighting_s,chunks_total,chunks_delivered,chunk_completion_pct,chunks_per_min,time_to_first_chunk_s,chunk_avg_delay_s,acks_generated,acks_delivered,ack_delivery_rate,connectivity_windows,bt_windows,wifi_windows,avg_window_duration_s,lp_solves,lp_fallbacks,total_transfers
0,N_31,M_36,10,10,1.0,116.7,27.0,305.0,86.0,3.0,0,103.0,1000,35,3.5000000000000004,1.1666666666666667,780.0,1140.1142857142856,0,0,0.0,493,171,322,9.448275862068966,27,0,74
1,Q_36,EDGE_1,8,7,0.875,160.42857142857142,9.0,335.0,127.0,3.0,0,307.0,1000,27,2.7,0.9,708.0,1001.5185185185185,0,0,0.0,441,165,276,14.154195011337869,24,0,70
2,M_37,EDGE_1,12,0,0.0,nan,nan,nan,nan,nan,8,nan,1000,0,0.0,0.0,nan,nan,0,0,0.0,530,223,307,9.086792452830188,28,0,90
3,M_35,EDGE_1,14,11,0.7857142857142857,278.54545454545456,12.0,512.0,299.0,3.0,2,330.0,1000,31,3.1,1.0333333333333334,535.0,993.6451612903226,0,0,0.0,504,196,308,9.196428571428571,42,0,96
4,M_35,WIS_O,10,7,0.7,567.5714285714286,269.0,807.0,640.0,3.0,0,1000.0,1000,40,4.0,1.3333333333333333,558.0,1101.7,0,0,0.0,515,146,369,9.76116504854369,33,0,100
5,M_33,WIS_O,11,0,0.0,nan,nan,nan,nan,nan,8,nan,1000,0,0.0,0.0,nan,nan,0,0,0.0,522,203,319,9.655172413793103,36,0,102
6,P_36,EDGE_0,7,5,0.7142857142857143,291.8,126.0,477.0,267.0,3.0,0,516.0,1000,9,0.8999999999999999,0.3,1333.0,1333.0,0,0,0.0,500,170,330,16.642,18,0,55
7,WIS_P,WIS_Q,14,13,0.9285714285714286,205.3846153846154,24.0,390.0,201.0,3.0,0,436.0,1000,53,5.3,1.7666666666666666,190.0,684.3018867924528,0,0,0.0,469,151,318,9.867803837953092,41,0,93
8,N_31,EDGE_0,13,12,0.9230769230769231,192.0,0.0,356.0,178.0,3.0,0,240.0,1000,33,3.3000000000000003,1.1,345.0,978.2121212121212,0,0,0.0,444,172,272,9.56981981981982,32,0,85
9,N_34,WIS_Q,9,7,0.7777777777777778,172.14285714285714,28.0,292.0,172.0,3.0,0,328.0,1000,36,3.5999999999999996,1.2,281.0,485.30555555555554,0,0,0.0,509,181,328,9.701375245579568,26,0,62
