node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
ESC1,V00,bluetooth,0.0,4.0,4.0,12.65,59.24,38.9099,-77.0629961,38.9098202,-77.0631,38.9099,-77.0626152,38.9095247,-77.0631
ESC2,EDGE_0,wifi,0.0,5.0,5.0,40.8,62.52,38.9041108,-77.062997,38.9044685,-77.0631,38.9041638,-77.0624937,38.9044685,-77.0631
V04,EDGE_0,wifi,0.0,5.0,5.0,40.72,60.82,38.9041095,-77.06301,38.9044685,-77.0631,38.9041611,-77.0625196,38.9044685,-77.0631
V01,M_36,wifi,0.0,6.0,6.0,6.82,59.45,38.9043612,-77.0612,38.9043,-77.0612,38.9048341,-77.0612,38.9043,-77.0612
V08,O_33,wifi,0.0,6.0,6.0,9.26,64.26,38.9081,-77.0558069,38.9081,-77.0557,38.9081,-77.0564418,38.9081,-77.0557
ESC2,V04,wifi,0.0,19.0,19.0,1.13,54.93,38.9041108,-77.062997,38.9041095,-77.06301,38.9043526,-77.0607328,38.9046558,-77.061233
ESC2,V07,wifi,12.0,20.0,8.0,7.55,63.61,38.9042698,-77.0614871,38.9043594,-77.0608258,38.9043665,-77.0606071,38.9047612,-77.061138
ESC2,M_36,wifi,9.0,21.0,12.0,3.11,62.89,38.90423,-77.0618646,38.9043,-77.0612,38.9043804,-77.0604814,38.9043,-77.0612
V04,M_36,wifi,9.0,21.0,12.0,5.35,61.66,38.9042273,-77.0618904,38.9043,-77.0612,38.9048534,-77.0612291,38.9043,-77.0612
V07,M_36,wifi,10.0,21.0,11.0,10.96,62.53,38.9043989,-77.0605769,38.9043,-77.0612,38.9048599,-77.061142,38.9043,-77.0612
COI,V02,bluetooth,20.0,24.0,4.0,4.39,39.61,38.9117,-77.0604565,38.9117,-77.0601519,38.9117,-77.0600756,38.9117,-77.0605329
COI,V05,wifi,26.0,32.0,6.0,7.78,58.22,38.9117,-77.0596947,38.9117,-77.059097,38.9117,-77.0590598,38.9117,-77.0597319
COI,V06,bluetooth,27.0,32.0,5.0,0.41,44.4,38.9117,-77.0595677,38.9117006,-77.0590645,38.9117,-77.0590598,38.9117001,-77.0595724
ESC1,V03,bluetooth,15.0,33.0,18.0,32.43,44.05,38.9099,-77.0610914,38.9095687,-77.0611858,38.9099,-77.0589328,38.9098317,-77.0594336
ESC1,WIS_P,bluetooth,25.0,33.0,8.0,3.53,40.47,38.9099,-77.0598217,38.9099,-77.0594,38.9099,-77.0589328,38.9099,-77.0594
V08,WIS_O,wifi,23.0,34.0,11.0,13.62,62.12,38.9081,-77.0587274,38.9081,-77.0594,38.9086532,-77.0593059,38.9081,-77.0594
COI,WIS_Q,wifi,23.0,35.0,12.0,3.53,62.47,38.9117,-77.0600756,38.9117,-77.0594,38.9117,-77.0586788,38.9117,-77.0594
V05,WIS_Q,wifi,23.0,35.0,12.0,4.25,61.75,38.9117,-77.058716,38.9117,-77.0594,38.9117,-77.0601128,38.9117,-77.0594
V03,WIS_P,bluetooth,28.0,36.0,8.0,6.36,39.56,38.9098721,-77.0598529,38.9099,-77.0594,38.9095453,-77.0594281,38.9099,-77.0594
V00,V01,wifi,31.0,38.0,7.0,1.56,64.24,38.9067579,-77.0631,38.9062867,-77.062672,38.9061651,-77.0631,38.9065567,-77.0630849
V04,V07,wifi,12.0,39.0,27.0,0.74,60.41,38.9042671,-77.0615129,38.9043594,-77.0608258,38.9066316,-77.061201,38.9062737,-77.0616565
V03,V08,bluetooth,37.0,41.0,4.0,12.18,34.26,38.9093477,-77.0594242,38.9090478,-77.0593357,38.9090513,-77.0594185,38.9093437,-77.059358
V08,WIS_P,bluetooth,42.0,50.0,8.0,7.04,40.04,38.909541,-77.0593729,38.9099,-77.0594,38.9098734,-77.0589432,38.9099,-77.0594
ESC2,WIS_N,wifi,41.0,53.0,12.0,6.96,61.96,38.9057435,-77.0594173,38.9063,-77.0594,38.9062778,-77.0601106,38.9063,-77.0594
V03,WIS_O,bluetooth,46.0,54.0,8.0,4.06,39.91,38.9084585,-77.059407,38.9081,-77.0594,38.9077671,-77.0594009,38.9081,-77.0594
ESC2,EDGE_1,bluetooth,47.0,56.0,9.0,2.79,44.46,38.9062652,-77.0594873,38.9063,-77.0599786,38.9062856,-77.0604914,38.9063,-77.0599786
ESC1,EDGE_3,bluetooth,57.0,60.0,3.0,37.6,40.7,38.9099,-77.0557583,38.9099,-77.0552994,38.9097428,-77.0557235,38.9099,-77.0552994
ESC1,P_33,bluetooth,54.0,62.0,8.0,5.05,39.54,38.9099,-77.0561393,38.9099,-77.0557,38.9095452,-77.0557207,38.9099,-77.0557
V00,EDGE_0,wifi,49.0,63.0,14.0,1.86,58.17,38.9049793,-77.0631,38.9044685,-77.0631,38.9042003,-77.0625236,38.9044685,-77.0631
V03,WIS_N,bluetooth,64.0,72.0,8.0,9.32,42.32,38.9066801,-77.0594002,38.9063,-77.0594,38.9063457,-77.058943,38.9063,-77.0594
V04,WIS_O,wifi,61.0,73.0,12.0,6.44,61.55,38.9080757,-77.0601086,38.9081,-77.0594,38.9075475,-77.0594269,38.9081,-77.0594
V07,EDGE_0,wifi,63.0,77.0,14.0,0.55,59.0,38.9049579,-77.0630953,38.9044685,-77.0631,38.9041845,-77.062525,38.9044685,-77.0631
COI,EDGE_3,bluetooth,74.0,79.0,5.0,35.02,43.47,38.9100607,-77.0557023,38.9099,-77.0552994,38.9096656,-77.0557007,38.9099,-77.0552994
